n	m	f	count	time	index	equal	result
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	1	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
100	1	-2	200	0	0	100	0
200	2	-2	1108	0	2	108	1
200	2	-2	302	0	0	102	1
200	2	-2	308	0	0	108	1
200	2	-2	996	0	2	102	0
200	2	-2	998	0	2	101	0
200	2	-2	400	0	0	107	0
