n	count.1	count.2	time.1	time.2
100	9900	4950	0.2	0.1
200	39800	19900	0.2	0.2
300	89700	44850	0.1	0.2
400	159600	79800	0.2	0.2
500	249500	124750	0.4	0.2
600	359400	179700	0.7	0.3
700	489300	244650	0.9	0.5
800	639200	319600	1.3	0.5
900	809100	404550	1.7	0.7
1000	999000	499500	2.2	0.9
1100	1208900	604450	2.5	1.2
1200	1438800	719400	3.2	1.4
1300	1688700	844350	3.9	1.7
1400	1958600	979300	4.6	1.9
1500	2248500	1124250	5.3	2.3
1600	2558400	1279200	6.0	2.5
1700	2888300	1444150	6.7	2.9
1800	3238200	1619100	7.6	3.2
1900	3608100	1804050	8.6	3.5
2000	3998000	1999000	9.6	4.1
2100	4407900	2203950	10.6	4.4
2200	4837800	2418900	11.8	4.9
2300	5287700	2643850	13.0	5.3
2400	5757600	2878800	14.0	5.8
2500	6247500	3123750	15.3	6.5
2600	6757400	3378700	16.5	6.8
2700	7287300	3643650	18.0	7.4
2800	7837200	3918600	19.3	8.1
2900	8407100	4203550	20.8	8.5
3000	8997000	4498500	22.6	9.3
